,Classifier,Filter way,TN,TP,FN,FP,pd,pf,prec,f-measure,g-measure
chromium_large,SVM,clninone,61956,1333,377,5825,77.953216374269,8.593853734822442,18.622520257055044,30.063148398737034,84.14536978291443
mozilla_large,LR,clninone,28135,446,179,3262,71.36,10.389527661878523,12.02804746494067,20.586198938379876,79.45063728975542
