,Source project,Classifier,Filter way,TN,TP,FN,FP,pd,pf,prec,f-measure,g-measure
chromium,ambari,LRCV,clni,17093,69,46,3762,60.0,18.038839606808917,1.8010963194988252,3.4972123669538773,69.28190231709789
wicket,derby,RFCV,two,465,3,3,29,50.0,5.870445344129554,9.375,15.789473684210526,65.30898876404495
ambari,chromium,RFCV,clnisq,482,4,3,11,57.142857142857146,2.231237322515213,26.666666666666668,36.36363636363637,72.12869435091659
camel,ambari,MLPCV,clnitwo,333,9,9,149,50.0,30.91286307053942,5.69620253164557,10.227272727272728,58.01393728222997
derby,ambari,SVMCV,clnisq,354,21,21,105,50.0,22.875816993464053,16.666666666666664,25.0,60.66838046272493
