,Classifier,Filter way,TN,TP,FN,FP,pd,pf,prec,f-measure,g-measure
chromium,NB,clni,14227,60,55,6628,52.17391304347826,31.781347398705346,0.8971291866028708,1.7639276789651623,59.12714011370071
wicket,MLP,clnitwo,363,4,2,131,66.66666666666667,26.518218623481783,2.9629629629629632,5.673758865248227,69.90852190659605
ambari,RF,clnisq,383,5,2,110,71.42857142857143,22.31237322515213,4.3478260869565215,8.19672131147541,74.4267392149242
camel,MLPCV,clnitwo,286,13,5,196,72.22222222222223,40.66390041493776,6.220095693779904,11.45374449339207,65.14806378132118
derby,NB,clnisq,302,26,16,157,61.904761904761905,34.20479302832244,14.207650273224044,23.11111111111111,63.79072223576246
