,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
two,1,1,2,1,2,1,2,3,11
sq,1,1,1,1,2,1,2,3,11
none,2,2,4,4,5,2,3,5,11
average,1.333333333,1.333333333,2.333333333,2,3,1.333333333,2.333333333,3.666666667,11
