,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
two,8,16,24,31,39,47,54,62,64
sq,1,6,7,12,22,34,48,58,64
none,8,16,24,31,39,47,54,62,69
average,5.666666667,12.66666667,18.33333333,24.66666667,33.33333333,42.66666667,52,60.66666667,65.66666667
