,0,1,2,3,4,5,6,7,8,9
train,3.772696390944564,2.987470858180197,2.5344957779035875,2.1893888595719235,1.9304265287064473,1.7304589722777675,1.6089830463267671,1.5242982397121676,1.4990129565807435,1.4756777068724707
clni,5.291744009992182,3.8090288141131525,3.082201081858891,2.600167837538401,2.2590497110796286,2.0043116242554175,1.8437138908790387,1.729687728695405,1.671006038028389,1.6304714801753517
sq,6.958410676658848,4.691551288994168,3.670549398446236,3.041429074978908,2.612058701032034,2.2984857825490885,2.097733644382414,1.9526234622087195,1.870227304676084,1.809770620158277
two,7.4449149357758095,6.515146185128683,5.429127868319367,4.648879953527992,4.07693484492021,3.6409861008116295,3.3283481440204956,3.0794422803824806,2.8873953111761193,2.7252218260083088
none,8.958410676658847,5.580328001037339,4.263067206475016,3.485817431000493,2.9675693858493024,2.594744686563479,2.3488687074315977,2.1716981931788943,2.0639042286803795,1.984079851762143
clnisq,6.958410676658848,4.691551288994168,3.670549398446236,3.041429074978908,2.612058701032034,2.2984857825490885,2.097733644382414,1.9526234622087195,1.870227304676084,1.809770620158277
clnitwo,6.958410676658848,4.580328001037339,3.5964005398083496,2.985817431000493,2.5675693858493025,2.2614113532301454,2.060380477245009,1.916614925847091,1.836109881469687,1.7790649392725197
clninone,6.958410676658848,4.6584911797045505,3.648509325586491,3.0248990203340993,2.598834657316187,2.2874657461192163,2.0873511307212116,1.9428703135573064,1.8605016690167457,1.8010175480648727
