,0,1,2,3,4,5,6,7,8,9
train,8.563597670252959,8.000197665705388,7.3324749194897825,6.797682807266382,6.309359192365269,5.933398369077031,5.662503796313214,5.476145674554074,5.310954345869444,5.1595570491319025
clni,9.857183727770654,8.036601696281153,7.244437024363527,6.530814512152731,6.110933765235011,5.8230659944968695,5.554130347765572,5.377242080015484,5.228741839666452,5.08556579354921
sq,13.922824083263812,11.272291140278512,9.650864878380846,8.538987839248751,7.7662229191202155,7.213191626286316,6.763634447433094,6.4466484034150815,6.176769920005434,5.938791065854293
two,12.655491761482143,11.559491895913983,10.242075933887426,9.157833504243255,8.363370808066238,7.745323526603326,7.232348571755058,6.86360338786717,6.548450384510928,6.273303483909238
none,15.215476693998504,10.787113701975546,8.819954752000733,7.632125325545377,6.92865395231545,6.44361438455271,6.052184247672649,5.784167016146641,5.584378939234693,5.405639183160626
clnisq,15.368592467488385,11.857919831364434,10.284254199259538,9.237485484041313,8.463481033526497,7.844407150584308,7.331949741936374,6.91986266235753,6.590978244330596,6.310248176446345
clnitwo,16.581669191942826,10.949986840071102,8.928536844064437,7.637569011470552,6.824572480232458,6.354218469901876,5.968649628477517,5.7097717081881685,5.517710402279157,5.3456374999006435
clninone,19.14944782674849,14.555908543881152,12.146757455279648,10.510962560884437,9.328148549526903,8.453286871097555,7.819119395038785,7.337639035975279,6.967273493211238,6.64715371377002
