,Filter way,0,1,2,3,4,5,6,7,8,9
chromium,clnitwo,5.0729425811739315,3.5659851020517426,2.7834083728059165,2.31067856866554,2.0010060802985254,1.784311326698131,1.6247519510479038,1.5003461326917515,1.4022745001787127,1.3195901827785
wicket,none,8.958410676658847,5.580328001037339,4.263067206475016,3.485817431000493,2.9675693858493024,2.594744686563479,2.3488687074315977,2.1716981931788943,2.0639042286803795,1.984079851762143
ambari,clnisq,20.917208436582783,14.463638886196911,11.270971541481643,9.31877973454393,7.991770110781869,7.076780882101706,6.374590226096003,5.811759163944374,5.34944242061521,4.962158565495126
camel,sq,22.321769133859462,16.156607439423126,13.174854823193689,11.232287126102314,9.952214740058471,9.070493705938306,8.363261171759067,7.829485018922965,7.397751239777458,7.037674253649115
derby,clnitwo,47.24827155386532,34.36148811025671,27.749020845760217,24.227868631857238,21.529280198072684,19.402309211995963,17.78721682776161,16.559573206551143,15.6186913796253,14.874661173237438
