,0,1,2,3,4,5,6,7,8,9
train,12.184735960255345,10.127079090879601,10.155761206639884,10.760390761810743,10.912153739948327,10.976904836555702,10.776221186270494,10.536331309456864,10.307245494451761,10.120104624775736
clni,9.236371738644687,11.014323815141486,12.422386221977147,12.546514015342503,12.532067089436426,12.1481720181772,11.66024219719607,11.274220896935327,10.977707451383136,10.729380376323075
sq,20.496756899967295,20.181556333450377,18.228925724878405,17.279029067639794,16.353173822430275,15.578466624450057,14.852750450795964,14.146192109764385,13.5194124038312,13.024175152598474
two,16.5338647780638,17.05205686550167,16.50837423477426,15.645555903594696,15.143233369440788,14.57893311991328,14.035369326193422,13.456608186909591,12.914403217308514,12.46978797314209
none,14.48459071891902,14.832781727394044,14.70889947295775,14.07940203770868,13.499964643278291,12.772098015511835,12.08446514649673,11.644477263343948,11.304291706930512,11.022051192120863
clnisq,20.496756899967295,20.181556333450377,18.228925724878405,17.279029067639794,16.353173822430275,15.578466624450057,14.852750450795964,14.146192109764385,13.5194124038312,13.024175152598474
clnitwo,18.102674608143182,18.730771235072883,17.792627312690154,16.549352795562225,15.93864303509994,15.289859840058071,14.689995740407745,14.090564915154443,13.518518717730398,13.014341280059758
clninone,10.368128959590793,13.370104397920638,13.49911800733188,13.487338871003603,13.220538178596108,12.96277696794005,12.52250844766241,12.068667360404422,11.665701557154955,11.345637556613902
