,0,1,2,3,4,5,6,7,8,9
train,5.498059284388386,6.0392254641228575,5.383271657207208,4.758746308265987,4.254285649235058,3.9013253983014975,3.6086600912047624,3.38521402555104,3.192513408710023,3.0209224547804556
clni,5.958410676658848,4.042441901985697,3.627156598125299,3.5598540865954815,3.384629592423109,3.185835255419771,3.0201317461035275,2.876607993950955,2.7404191583988364,2.6140376295003875
sq,10.262518095916064,8.922107806428249,7.576617488302533,6.548014194659598,5.775157678874402,5.221896392578574,4.78468923507617,4.420595796802017,4.112852760933114,3.8492278717812374
two,16.58269579240955,11.723370180387732,9.172701468050464,7.600818666398429,6.527943535741011,5.80260218693635,5.238325910034637,4.784100356517766,4.42458332761778,4.129785381797436
none,7.358884845381192,5.714643282752079,5.277961269944503,4.824022030891074,4.395963947859581,4.041086983453597,3.7725668843976186,3.534988739958284,3.3256464881831294,3.1407422263062514
clnisq,15.001050529665893,10.841578285281,8.584840204645976,7.159922718845063,6.1752267776983185,5.503411755354214,4.981876968678519,4.559707532831164,4.224068603194453,3.949322129816443
clnitwo,15.936231145944905,11.381269932627111,8.94463463621005,7.429768542518118,6.3911034366367625,5.687246019693392,5.139449195254958,4.697583231085547,4.347679216122474,4.060571681451662
clninone,14.329460318028366,10.608363609608345,8.700788023755933,7.391142096249649,6.449660000146443,5.767869496691484,5.252666181458665,4.8300756248867,4.47683483034172,4.176811734248984
