,0,1,2,3,4,5,6,7,8,9
train,40.44492523121664,29.393507861431964,24.052590544991933,20.980225857333654,18.662792816880454,16.841084700814104,15.55972100136734,14.605866918057218,13.888438074708974,13.318312323938333
clni,11.120805236601672,12.068989819119201,12.823665072391305,12.697207937152639,12.431132779268268,11.942289894681343,11.430629104591794,11.060578152042307,10.759065328679442,10.519394945184265
sq,37.89958736988072,28.75546211261826,24.141470924413248,21.338792480988072,19.289827111309435,17.59698340553779,16.278274388240074,15.296952290404295,14.521118281937781,13.89799354339182
two,34.69195125479362,27.324662127959247,22.75380054189427,20.22602849637315,18.238350369160962,16.59898258872499,15.386603126622516,14.488521215845099,13.782186000213642,13.220536892236638
none,39.42640795316214,28.78974739934727,23.489772465633838,20.544299299824285,18.31405157087296,16.547042311496405,15.291651020764002,14.366655217290672,13.673675530799374,13.123317030203356
clnisq,41.7441273413063,31.94593273188481,26.806249371323904,23.50199462684849,21.038038714590133,19.053826408271707,17.526996962012003,16.388290775299346,15.491196935177827,14.772353587051391
clnitwo,47.24827155386532,34.36148811025671,27.749020845760217,24.227868631857238,21.529280198072684,19.402309211995963,17.78721682776161,16.559573206551143,15.6186913796253,14.874661173237438
clninone,42.29913644369939,31.481533623561923,25.752771433408697,22.634341779309,20.254458716034097,18.339957976963806,16.890002365405824,15.801384361210964,14.962959017114871,14.293981562508176
