,0,1,2,3,4,5,6,7,8,9
train,11.982452920352603,8.78391517741708,6.941640529844966,5.783264449672187,4.986048867538376,4.459466218837963,4.042955360030677,3.7345999315783214,3.4927535248329007,3.2911385592910456
clni,19.949594180187688,13.883759985194047,10.884385607479734,9.028840284042499,7.759818550380722,6.879611907288445,6.205588247684636,5.663882432834429,5.21799643740637,4.84385718060717
sq,20.165516982875197,14.054733050053501,10.99836765071937,9.114326816472225,7.828207776324504,6.940478936720567,6.2577599871978835,5.70953270490852,5.258574457027784,4.880377398266442
two,13.735076744790506,10.318791425808982,8.236315631664631,6.898529289109053,5.966112033909511,5.335737289991773,4.838155998367856,4.433951683809333,4.1143995268160225,3.850619961075855
none,18.19645798192765,12.947916361802063,10.260489858551745,8.560918472346508,7.385481101023929,6.563832577703179,5.93492025089726,5.427047935645475,5.007476884349522,4.654389582856006
clnisq,20.917208436582783,14.463638886196911,11.270971541481643,9.31877973454393,7.991770110781869,7.076780882101706,6.374590226096003,5.811759163944374,5.34944242061521,4.962158565495126
clnitwo,11.536231145944907,9.18126993262711,7.4779679695433785,6.3297685425181145,5.511103436636759,4.953912686360057,4.510877766683527,4.147583231085545,3.859319427762685,3.621047871927851
clninone,17.458358247389338,12.55049627320494,9.995543132820329,8.362208428047945,7.22651306558508,6.4351906699587405,5.824655758544885,5.330566504837146,4.921715612519896,4.577204438209343
