,0,1,2,3,4,5,6,7,8,9
train,5.958410676658848,4.1584911797045505,3.315175992253156,2.7748990203340997,2.3988346573161876,2.1207990794525498,1.9435602810480093,1.8163866534265876,1.759728501056031,1.7103216969002295
clni,4.393106151861305,4.4544740969159315,4.055346476177531,3.618543909421615,3.2526660096351088,2.954095404740714,2.7359622766325926,2.570022784642183,2.4416940759341843,2.324090714290567
sq,8.958410676658847,5.095479516188854,4.2731682165760265,3.4933931885762513,2.9736299919099087,2.599795191613984,2.3522700679758155,2.1726796933979218,2.0753520265236363,1.9943828698210742
two,8.958410676658847,5.091551288994167,4.3372160651129015,3.5414290749789075,3.012058701032034,2.6318191158824216,2.383447930096699,2.2026234622087193,2.1030501088623703,2.019311143925935
none,8.097582356869697,6.238114631156538,5.2444401656712705,4.510364176541919,3.966122223331352,3.5486422494875813,3.241996796380248,3.0108649962986482,2.83355381962882,2.6767644836157394
clnisq,8.958410676658847,5.091551288994167,4.3372160651129015,3.5414290749789075,3.012058701032034,2.6318191158824216,2.383447930096699,2.2026234622087193,2.1030501088623703,2.019311143925935
clnitwo,8.958410676658847,5.091551288994167,4.3372160651129015,3.5414290749789075,3.012058701032034,2.6318191158824216,2.383447930096699,2.2026234622087193,2.1030501088623703,2.019311143925935
clninone,8.958410676658847,5.091551288994167,4.3372160651129015,3.5414290749789075,3.012058701032034,2.6318191158824216,2.383447930096699,2.2026234622087193,2.1030501088623703,2.019311143925935
