,0,1,2,3,4,5,6,7,8,9
train,22.21833181510179,15.20750218428583,12.309728945991044,10.487692663261232,9.366248365257176,8.59007829806546,7.955713638575383,7.474188119163382,7.083500812373229,6.7548488689853095
clni,17.323315674469537,11.847092723361927,9.526607432924987,8.187354234740495,7.379435158068146,6.819265389346622,6.3767567715303315,6.0694738937801604,5.839029644624594,5.634824818011537
sq,22.321769133859462,16.156607439423126,13.174854823193689,11.232287126102314,9.952214740058471,9.070493705938306,8.363261171759067,7.829485018922965,7.397751239777458,7.037674253649115
two,20.40413405643315,14.237716066206273,11.569594101678925,9.86764327598566,8.839350246024429,8.125052069591913,7.550308608270208,7.114714369854933,6.761901295613347,6.465409303901415
none,22.00082988468786,14.86657856064369,12.069179203496944,10.279890051245712,9.190297080173188,8.430353790674781,7.815433000972116,7.350788110998743,6.973276440992613,6.655646934742754
clnisq,22.321769133859462,16.156607439423126,13.174854823193689,11.232287126102314,9.952214740058471,9.070493705938306,8.363261171759067,7.829485018922965,7.397751239777458,7.037674253649115
clnitwo,12.33181787345103,11.024412884111953,9.976088472615864,8.953009537030054,8.199511634295678,7.647668433925422,7.183530565017677,6.8237987943172245,6.511577094291234,6.240117522711514
clninone,19.839209344325663,13.702928794631644,11.261355482264879,9.652638892369884,8.680894988519691,7.99555550007629,7.43845867022057,7.014783575681003,6.670485847414359,6.383135400522327
